C2min_1,C2min_2,C2min_3,C2pls_1,C2pls_2,C2pls_3,Score,Intensity,MS/MS count,Description,Fasta headers,Protein IDs,Majority protein IDs
23.8126,23.889,23.86,23.7248,23.835,23.6636,28.489,7.95063,37,"26S proteasome regulatory subunit RPN11, putative","1368100.1  1368100 26S proteasome regulatory subunit RPN11, putative  26S proteasome regulatory subunit RPN11, putative  Pf3D7_13_v3:2710406-2711718(-)  311",PF3D7_1368100,PF3D7_1368100
24.8238,24.9427,24.763,24.778,24.6715,24.7431,77.752,8.25394,71,"26S protease regulatory subunit 7, putative","1311500.1  1311500 26S protease regulatory subunit 7, putative  26S protease regulatory subunit 7, putative  Pf3D7_13_v3:489927-491609(-)  420",PF3D7_1311500,PF3D7_1311500
21.9119,21.9136,22.1879,21.8386,21.9332,21.9071,7.3647,7.39426,15,casein kinase II beta chain,1342400.1  1342400 casein kinase II beta chain  casein kinase II beta chain  Pf3D7_13_v3:1666832-1668153(-)  385,PF3D7_1342400,PF3D7_1342400
23.4764,23.2475,23.425,23.3661,23.2134,23.2499,15.047,7.8116,25,"DNA damage-inducible protein 1, putative","1409300.1  1409300 DNA damage-inducible protein 1, putative  DNA damage-inducible protein 1, putative  Pf3D7_14_v3:363092-364240(+)  382",PF3D7_1409300,PF3D7_1409300
22.6705,22.647,22.7929,22.5007,22.4929,22.8017,16.875,7.60746,29,6-cysteine protein,0612700.1  0612700 6-cysteine protein  6-cysteine protein  Pf3D7_06_v3:525987-527030(-)  347,PF3D7_0612700,PF3D7_0612700
24.7775,24.7036,24.7012,24.5449,24.6183,24.7221,44.512,8.23361,53,proliferating cell nuclear antigen 2,1226600.1  1226600 proliferating cell nuclear antigen 2  proliferating cell nuclear antigen 2  Pf3D7_12_v3:1077868-1078776(-)  264,PF3D7_1226600,PF3D7_1226600
22.8022,22.8091,22.7365,22.6891,22.5699,22.8066,17.595,7.62935,21,"Plasmodium exported protein (PHIST), unknown function","0831500.1  0831500 Plasmodium exported protein (PHIST), unknown function  Plasmodium exported protein (PHIST), unknown function  Pf3D7_08_v3:1353456-1354669(+)  335",PF3D7_0831500,PF3D7_0831500
22.2506,22.1996,22.1971,22.0949,22.1712,22.1027,10.547,7.46513,21,"eukaryotic translation initiation factor 2 subunit alpha, putative","0728000.1  0728000 eukaryotic translation initiation factor 2 subunit alpha, putative  eukaryotic translation initiation factor 2 subunit alpha, putative  Pf3D7_07_v3:1191179-1192289(-)  329",PF3D7_0728000,PF3D7_0728000
23.1403,23.3713,23.338,23.1895,23.3317,23.0578,56.507,7.78784,28,actin II,1412500.1  1412500 actin II  actin II  Pf3D7_14_v3:507360-508868(+)  376,PF3D7_1412500,PF3D7_1412500
22.9191,23.0192,23,22.8312,22.9352,22.9042,77.273,7.69051,38,"SNARE protein, putative","1324700.1  1324700 SNARE protein, putative  SNARE protein, putative  Pf3D7_13_v3:1034900-1035637(+)  221",PF3D7_1324700,PF3D7_1324700
23.8095,23.5862,23.7426,23.5949,23.5381,23.7395,59.204,7.90914,47,dynamin-like protein,1145400.1  1145400 dynamin-like protein  dynamin-like protein  Pf3D7_11_v3:1800544-1803550(-)  837,PF3D7_1145400,PF3D7_1145400
24.3144,24.3934,24.4252,24.1839,24.2459,24.4448,9.4425,8.11167,22,falstatin,0911900.1  0911900 falstatin  falstatin  Pf3D7_09_v3:538221-539872(-)  413,PF3D7_0911900,PF3D7_0911900
26.4175,26.3747,26.3853,26.3326,26.2191,26.3695,323.31,8.74508,93,cAMP-dependent protein kinase catalytic subunit,0934800.1  0934800 cAMP-dependent protein kinase catalytic subunit  cAMP-dependent protein kinase catalytic subunit  Pf3D7_09_v3:1361935-1363848(+)  342,PF3D7_0934800,PF3D7_0934800
27.8138,27.8153,27.7966,27.6823,27.7238,27.7686,255.5,9.14351,236,triosephosphate isomerase,1439900.1  1439900 triosephosphate isomerase  triosephosphate isomerase  Pf3D7_14_v3:1622576-1623612(+)  248,PF3D7_1439900,PF3D7_1439900
25.8744,25.9134,25.9528,25.7836,25.8844,25.8259,106.73,8.58298,97,pyridoxine biosynthesis protein PDX1,0621200.1  0621200 pyridoxine biosynthesis protein PDX1  pyridoxine biosynthesis protein PDX1  Pf3D7_06_v3:871297-872202(-)  301,PF3D7_0621200,PF3D7_0621200
25.0492,25.0051,24.8668,24.8149,24.9864,24.8737,21.881,8.29455,32,nucleosome assembly protein,1203700.1  1203700 nucleosome assembly protein  nucleosome assembly protein  Pf3D7_12_v3:187146-188842(-)  347,PF3D7_1203700,PF3D7_1203700
24.3393,24.2578,24.3548,24.2038,24.2007,24.3041,13.791,8.09216,34,rhoptry associated adhesin,1012200.1  1012200 rhoptry associated adhesin  rhoptry associated adhesin  Pf3D7_10_v3:470979-471933(+)  267,PF3D7_1012200,PF3D7_1012200
21.1056,21.0264,21.0845,20.9251,21.0444,21.019,9.902,7.11214,11,"translation initiation factor IF-2, putative","0607000.1  0607000 translation initiation factor IF-2, putative  translation initiation factor IF-2, putative  Pf3D7_06_v3:293864-296797(+)  977",PF3D7_0607000,PF3D7_0607000
22.1287,22.0976,22.0408,22.1792,21.9522,21.9109,8.4297,7.42563,17,"ubiquitin-conjugating enzyme E2, putative","0305700.1  0305700 ubiquitin-conjugating enzyme E2, putative  ubiquitin-conjugating enzyme E2, putative  Pf3D7_03_v3:278956-279828(-)  142",PF3D7_0305700,PF3D7_0305700
24.9858,24.9422,24.9681,24.8808,24.8572,24.9351,158.71,8.28937,45,"probable protein, unknown function","1035900.1  1035900 probable protein, unknown function  probable protein, unknown function  Pf3D7_10_v3:1423983-1425683(+)  566",PF3D7_1035900,PF3D7_1035900
21.1942,21.1826,21.1057,21.0295,21.2476,20.9832,4.9941,7.14823,10,"inner membrane complex protein 1c, putative","1003600.1  1003600 inner membrane complex protein 1c, putative  inner membrane complex protein 1c, putative  Pf3D7_10_v3:164945-165790(+)  281",PF3D7_1003600,PF3D7_1003600
21.8272,21.8714,21.8455,21.7996,21.62,21.9107,5.0032,7.36371,8,eukaryotic translation initiation factor 4E,0315100.1  0315100 eukaryotic translation initiation factor 4E  eukaryotic translation initiation factor 4E  Pf3D7_03_v3:612739-613422(-)  227,PF3D7_0315100,PF3D7_0315100
30.8211,30.7614,30.7733,30.7664,30.6944,30.6814,323.31,10.0495,705,actin I,1246200.1  1246200 actin I  actin I  Pf3D7_12_v3:1920784-1921914(+)  376,PF3D7_1246200,PF3D7_1246200
22.7252,22.8897,22.9528,22.8364,22.7686,22.7539,133.72,7.66148,24,"conserved Plasmodium protein, unknown function","0931400.1  0931400 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_09_v3:1263347-1264830(+)  310",PF3D7_0931400,PF3D7_0931400
27.2556,27.2734,27.189,27.1601,27.2082,27.1473,116.33,8.98747,174,cAMP-dependent protein kinase regulatory subunit,1223100.1  1223100 cAMP-dependent protein kinase regulatory subunit  cAMP-dependent protein kinase regulatory subunit  Pf3D7_12_v3:927825-929991(-)  441,PF3D7_1223100,PF3D7_1223100
22.4984,22.6235,22.8398,22.5602,22.5745,22.6261,71.12,7.59479,20,glyoxalase I,1113700.1  1113700 glyoxalase I  glyoxalase I  Pf3D7_11_v3:529493-530563(+)  356,PF3D7_1113700,PF3D7_1113700
24.1192,23.977,23.8267,24.0393,23.879,23.8125,27.89,8.00911,47,"eukaryotic translation initiation factor 2 subunit gamma, putative","1410600.1  1410600 eukaryotic translation initiation factor 2 subunit gamma, putative  eukaryotic translation initiation factor 2 subunit gamma, putative  Pf3D7_14_v3:427191-428588(+)  465",PF3D7_1410600,PF3D7_1410600
21.2754,21.305,21.4022,21.2796,21.1612,21.3611,9.0657,7.20382,14,EMP1-trafficking protein,1302000.1  1302000 EMP1-trafficking protein  EMP1-trafficking protein  Pf3D7_13_v3:112792-113815(-)  312,PF3D7_1302000,PF3D7_1302000
28.0638,28.1536,28.139,28.0471,28.0257,28.1038,323.31,9.24792,294,NADP-specific glutamate dehydrogenase,1416500.1  1416500 NADP-specific glutamate dehydrogenase  NADP-specific glutamate dehydrogenase  Pf3D7_14_v3:667412-668824(+)  470,PF3D7_1416500;PF3D7_1430700,PF3D7_1416500
24.4593,24.444,24.4041,24.4033,24.3608,24.3641,82.82,8.13777,44,"deoxyribose-phosphate aldolase, putative","1021600.1  1021600 deoxyribose-phosphate aldolase, putative  deoxyribose-phosphate aldolase, putative  Pf3D7_10_v3:871095-871886(+)  263",PF3D7_1021600,PF3D7_1021600
25.0939,25.1039,25.1027,25.0027,24.988,25.1372,238.6,8.33568,135,dipeptidyl aminopeptidase 1,1116700.1  1116700 dipeptidyl aminopeptidase 1  dipeptidyl aminopeptidase 1  Pf3D7_11_v3:630779-632881(-)  700,PF3D7_1116700,PF3D7_1116700
24.2837,24.2105,24.1714,24.1662,24.1727,24.1562,98.596,8.07474,72,"conserved Plasmodium protein, unknown function","1014100.1  1014100 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_10_v3:555160-559527(+)  1455",PF3D7_1014100,PF3D7_1014100
24.7946,24.732,24.78,24.7385,24.6619,24.7445,50.235,8.24903,80,"Obg-like ATPase 1, putative","0722400.1  0722400 Obg-like ATPase 1, putative  Obg-like ATPase 1, putative  Pf3D7_07_v3:954784-956343(+)  393",PF3D7_0722400,PF3D7_0722400
20.5047,20.2721,20.3497,20.0678,20.5988,20.3035,7.8939,6.86711,7,"ATP-dependent RNA helicase DDX60, putative","0903400.1  0903400 ATP-dependent RNA helicase DDX60, putative  ATP-dependent RNA helicase DDX60, putative  Pf3D7_09_v3:151700-159541(-)  2536",PF3D7_0903400,PF3D7_0903400
21.1165,20.7034,20.9065,20.6781,20.8361,21.0592,7.315,7.07471,10,"thioredoxin, putative","1330000.1  1330000 thioredoxin, putative  thioredoxin, putative  Pf3D7_13_v3:1272213-1273859(+)  206;1330000.2  1330000 thioredoxin, putative  thioredoxin, putative  Pf3D7_13_v3:1272213-1273859(+)  195",PF3D7_1330000;PF3D7_1330000.2,PF3D7_1330000;PF3D7_1330000.2
24.5186,24.604,24.6138,24.4788,24.5349,24.5802,82.549,8.17748,45,V-type proton ATPase subunit B,0406100.1  0406100 V-type proton ATPase subunit B  V-type proton ATPase subunit B  Pf3D7_04_v3:323267-325225(-)  494,PF3D7_0406100,PF3D7_0406100
23.6721,23.6012,23.7275,23.5736,23.7098,23.576,14.995,7.92265,21,"nascent polypeptide-associated complex subunit alpha, putative","0621800.1  0621800 nascent polypeptide-associated complex subunit alpha, putative  nascent polypeptide-associated complex subunit alpha, putative  Pf3D7_06_v3:891997-892777(+)  184",PF3D7_0621800,PF3D7_0621800
21.355,21.195,21.2835,21.3364,21.165,21.2049,4.7057,7.186,7,"vacuolar protein sorting-associated protein 26, putative","1250300.1  1250300 vacuolar protein sorting-associated protein 26, putative  vacuolar protein sorting-associated protein 26, putative  Pf3D7_12_v3:2064987-2066040(+)  297",PF3D7_1250300,PF3D7_1250300
24.8516,24.5113,24.4997,24.4283,24.5102,24.8006,19.766,8.19642,15,glutathione S-transferase,1419300.1  1419300 glutathione S-transferase  glutathione S-transferase  Pf3D7_14_v3:802717-803481(+)  211,PF3D7_1419300,PF3D7_1419300
21.2537,21.2213,21.0938,21.1184,21.3964,20.9376,8.6738,7.15161,13,"eukaryotic translation initiation factor eIF2A, putative","1438000.1  1438000 eukaryotic translation initiation factor eIF2A, putative  eukaryotic translation initiation factor eIF2A, putative  Pf3D7_14_v3:1536484-1538469(-)  661",PF3D7_1438000,PF3D7_1438000
23.5883,23.4916,23.4925,23.5693,23.4074,23.4846,144,7.86173,37,"26S proteasome regulatory subunit RPN7, putative","1129200.1  1129200 26S proteasome regulatory subunit RPN7, putative  26S proteasome regulatory subunit RPN7, putative  Pf3D7_11_v3:1128774-1130813(+)  393",PF3D7_1129200,PF3D7_1129200
22.5739,22.3625,22.6234,22.522,22.3962,22.5364,11.802,7.55489,17,"DnaJ protein, putative","0201700.1  0201700 DnaJ protein, putative  DnaJ protein, putative  Pf3D7_02_v3:81291-84165(-)  900",PF3D7_0201700,PF3D7_0201700
23.5036,23.423,23.3373,23.4786,23.3973,23.2871,64.86,7.83417,38,"lysine decarboxylase-like protein, putative","0413700.1  0413700 lysine decarboxylase-like protein, putative  lysine decarboxylase-like protein, putative  Pf3D7_04_v3:619786-620802(-)  338",PF3D7_0413700,PF3D7_0413700
22.7286,22.3509,22.5072,22.609,22.3751,22.5062,49.606,7.56091,25,"chaperone binding protein, putative","1334200.1  1334200 chaperone binding protein, putative  chaperone binding protein, putative  Pf3D7_13_v3:1398271-1399845(+)  524",PF3D7_1334200,PF3D7_1334200
24.3353,24.4345,24.3465,24.3291,24.2721,24.4284,45.535,8.12662,60,"HSP40, subfamily A, putative","1437900.1  1437900 HSP40, subfamily A, putative  HSP40, subfamily A, putative  Pf3D7_14_v3:1533329-1534947(+)  424",PF3D7_1437900,PF3D7_1437900
20.4837,20.3129,20.4478,20.9424,20.9994,19.2168,30.485,6.96571,10,"cullin-1, putative","0811000.1  0811000 cullin-1, putative  cullin-1, putative  Pf3D7_08_v3:554437-557205(+)  829",PF3D7_0811000,PF3D7_0811000
23.3874,23.1269,23.1944,23.2312,23.1125,23.2835,30.292,7.7838,28,serine/threonine protein phosphatase PP1,1414400.1  1414400 serine/threonine protein phosphatase PP1  serine/threonine protein phosphatase PP1  Pf3D7_14_v3:575496-577055(+)  304,PF3D7_1414400,PF3D7_1414400
22.8558,23.0561,22.8707,22.9554,22.9497,22.7979,6.999,7.68685,16,plasmepsin II,1408000.1  1408000 plasmepsin II  plasmepsin II  Pf3D7_14_v3:293471-294832(+)  453,PF3D7_1408000,PF3D7_1408000
25.2983,25.2049,25.2229,25.2072,25.2522,25.1966,67.632,8.38374,49,"26S proteasome regulatory subunit p55, putative","1017900.1  1017900 26S proteasome regulatory subunit p55, putative  26S proteasome regulatory subunit p55, putative  Pf3D7_10_v3:715878-717437(+)  467",PF3D7_1017900,PF3D7_1017900
21.2513,21.2366,21.203,21.34,20.9128,21.3963,25.147,7.16932,15,"AP-1 complex subunit beta, putative","0528100.1  0528100 AP-1 complex subunit beta, putative  AP-1 complex subunit beta, putative  Pf3D7_05_v3:1157840-1161553(-)  929",PF3D7_0528100,PF3D7_0528100
24.3942,24.3541,24.4411,24.2407,24.5194,24.3959,63.768,8.14305,46,"Plasmodium exported protein (PHISTb), unknown function","1401600.1  1401600 Plasmodium exported protein (PHISTb), unknown function  Plasmodium exported protein (PHISTb), unknown function  Pf3D7_14_v3:61364-62988(-)  478",PF3D7_1401600,PF3D7_1401600
28.091,28.09,28.1795,28.0534,28.0889,28.2162,323.31,9.28382,216,eukaryotic initiation factor 4A,1468700.1  1468700 eukaryotic initiation factor 4A  eukaryotic initiation factor 4A  Pf3D7_14_v3:2825370-2826918(+)  398,PF3D7_1468700,PF3D7_1468700
25.4416,25.5639,25.4864,25.5042,25.5318,25.4575,185.93,8.46727,100,haloacid dehalogenase-like hydrolase,1033400.1  1033400 haloacid dehalogenase-like hydrolase  haloacid dehalogenase-like hydrolase  Pf3D7_10_v3:1339762-1340628(+)  288,PF3D7_1033400,PF3D7_1033400
26.1849,26.0263,26.1165,26.0571,26.1385,26.1409,136.16,8.67063,76,elongation factor 1-beta,0913200.1  0913200 elongation factor 1-beta  elongation factor 1-beta  Pf3D7_09_v3:575679-576509(+)  276,PF3D7_0913200,PF3D7_0913200
20.4492,20.6275,20.5549,20.3496,20.6232,20.6687,62.965,6.97098,11,AP-1 complex subunit mu-1,1311400.1  1311400 AP-1 complex subunit mu-1  AP-1 complex subunit mu-1  Pf3D7_13_v3:487511-488824(+)  437,PF3D7_1311400,PF3D7_1311400
25.0711,25.1278,25.2223,25.0825,25.1709,25.18,98.18,8.357,79,protein disulfide isomerase,0827900.1  0827900 protein disulfide isomerase  protein disulfide isomerase  Pf3D7_08_v3:1206788-1208394(-)  483,PF3D7_0827900,PF3D7_0827900
19.8647,19.5885,20.0634,19.8126,19.7448,19.972,7.0913,6.75796,12,"translation initiation factor SUI1, putative","0907600.1  0907600 translation initiation factor SUI1, putative  translation initiation factor SUI1, putative  Pf3D7_09_v3:360535-363215(+)  818",PF3D7_0907600,PF3D7_0907600
21.8369,21.9186,21.8544,21.8839,21.8223,21.9171,4.4703,7.37478,7,peptidyl-prolyl cis-trans isomerase FKBP35,1247400.1  1247400 peptidyl-prolyl cis-trans isomerase FKBP35  peptidyl-prolyl cis-trans isomerase FKBP35  Pf3D7_12_v3:1955124-1956038(-)  304,PF3D7_1247400,PF3D7_1247400
29.5164,29.5253,29.4815,29.4961,29.5203,29.5229,323.31,9.68439,518,pyruvate kinase,0626800.1  0626800 pyruvate kinase  pyruvate kinase  Pf3D7_06_v3:1078995-1081320(+)  511,PF3D7_0626800,PF3D7_0626800
23.033,23.0625,23.2936,23.0015,23.1457,23.2696,19.532,7.75432,33,rhoptry neck protein 12,1017100.1  1017100 rhoptry neck protein 12  rhoptry neck protein 12  Pf3D7_10_v3:689888-690820(-)  310,PF3D7_1017100,PF3D7_1017100
23.3116,23.3091,23.3502,23.4665,23.2845,23.2482,10.457,7.81186,20,"conserved Plasmodium protein, unknown function","0217900.1  0217900 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_02_v3:735438-736997(-)  519",PF3D7_0217900,PF3D7_0217900
23.5616,23.4619,23.4371,23.5782,23.3699,23.5419,62.201,7.86096,37,"conserved Plasmodium protein, unknown function","1205600.1  1205600 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_12_v3:249336-251399(-)  333",PF3D7_1205600,PF3D7_1205600
25.3203,25.284,25.3832,25.1767,25.4011,25.455,298.75,8.4131,87,"RNA-binding protein musashi, putative","0916700.1  0916700 RNA-binding protein musashi, putative  RNA-binding protein musashi, putative  Pf3D7_09_v3:696863-698029(-)  388",PF3D7_0916700,PF3D7_0916700
25.6473,25.6229,25.5608,25.688,25.6341,25.5551,323.31,8.50395,104,parasitophorous vacuolar protein 1,1129100.1  1129100 parasitophorous vacuolar protein 1  parasitophorous vacuolar protein 1  Pf3D7_11_v3:1125952-1127310(+)  452,PF3D7_1129100,PF3D7_1129100
30.5584,30.5534,30.5725,30.566,30.5685,30.5992,323.31,9.98982,755,fructose-bisphosphate aldolase,1444800.1  1444800 fructose-bisphosphate aldolase  fructose-bisphosphate aldolase  Pf3D7_14_v3:1844041-1845617(-)  369,PF3D7_1444800,PF3D7_1444800
23.1243,23.1875,23.2272,23.1144,23.242,23.2325,85.409,7.76948,33,plasmepsin III,1408100.1  1408100 plasmepsin III  plasmepsin III  Pf3D7_14_v3:297468-298823(+)  451,PF3D7_1408100,PF3D7_1408100
25.353,25.3502,25.2314,25.3364,25.2642,25.3862,212.07,8.43605,119,"26S protease regulatory subunit 8, putative","1248900.1  1248900 26S protease regulatory subunit 8, putative  26S protease regulatory subunit 8, putative  Pf3D7_12_v3:2002723-2004030(-)  435",PF3D7_1248900,PF3D7_1248900
21.1257,21.0814,21.1376,19.5281,22.1469,21.7395,61.487,7.19198,6,interspersed repeat antigen,0501400.1  0501400 interspersed repeat antigen  interspersed repeat antigen  Pf3D7_05_v3:74509-79842(+)  1720,PF3D7_0501400,PF3D7_0501400
24.9448,24.949,24.8858,24.8753,25.0495,24.9385,127.56,8.35578,88,peptidyl-prolyl cis-trans isomerase,0322000.1  0322000 peptidyl-prolyl cis-trans isomerase  peptidyl-prolyl cis-trans isomerase  Pf3D7_03_v3:928644-929159(-)  171,PF3D7_0322000,PF3D7_0322000
25.1873,25.1958,25.1273,25.137,25.2167,25.2415,225.65,8.41328,101,merozoite surface protein 3,1035400.1  1035400 merozoite surface protein 3  merozoite surface protein 3  Pf3D7_10_v3:1404195-1405259(+)  354,PF3D7_1035400,PF3D7_1035400
25.8559,25.8463,25.8376,25.9414,25.8101,25.8833,154.44,8.5718,108,surface protein P113,1420700.1  1420700 surface protein P113  surface protein P113  Pf3D7_14_v3:860011-863080(+)  969,PF3D7_1420700,PF3D7_1420700
22.6377,22.7524,23.3402,23.0579,22.7039,23.0668,16.091,7.69814,26,"histidine--tRNA ligase, putative","1445100.1  1445100 histidine--tRNA ligase, putative  histidine--tRNA ligase, putative  Pf3D7_14_v3:1851656-1855054(-)  1132",PF3D7_1445100,PF3D7_1445100
23.4529,23.5225,23.4344,23.493,23.4026,23.6138,44.324,7.85294,25,26S proteasome regulatory subunit RPN6,1402300.1  1402300 26S proteasome regulatory subunit RPN6  26S proteasome regulatory subunit RPN6  Pf3D7_14_v3:85883-87883(-)  666,PF3D7_1402300,PF3D7_1402300
23.5688,23.7497,23.6168,23.7452,23.6649,23.6261,37.453,7.90564,32,transportin,0627700.1  0627700 transportin  transportin  Pf3D7_06_v3:1108197-1111640(+)  1147,PF3D7_0627700,PF3D7_0627700
23.8265,24.1612,23.9964,24.0253,24.0821,23.9808,92.239,8.01745,49,threonine--tRNA ligase,1126000.1  1126000 threonine--tRNA ligase  threonine--tRNA ligase  Pf3D7_11_v3:1014334-1017375(-)  1013,PF3D7_1126000,PF3D7_1126000
29.1325,29.1506,29.0827,29.1493,29.1593,29.1806,323.31,9.56133,368,14-3-3 protein,0818200.1  0818200 14-3-3 protein  14-3-3 protein  Pf3D7_08_v3:830006-831454(+)  262,PF3D7_0818200,PF3D7_0818200
24.879,24.9165,24.8976,25.0146,25.0056,24.8034,32.884,8.29708,61,"valine--tRNA ligase, putative","1461900.1  1461900 valine--tRNA ligase, putative  valine--tRNA ligase, putative  Pf3D7_14_v3:2514673-2517945(+)  1090",PF3D7_1461900,PF3D7_1461900
22.2353,22.4031,22.283,22.5114,22.3974,22.1511,14.421,7.5115,24,clustered-asparagine-rich protein,1236100.1  1236100 clustered-asparagine-rich protein  clustered-asparagine-rich protein  Pf3D7_12_v3:1506932-1508269(-)  445,PF3D7_1236100,PF3D7_1236100
21.6354,21.4891,21.4759,21.4451,21.4675,21.8265,11.328,7.27889,24,asparagine-rich antigen,1110400.1  1110400 asparagine-rich antigen  asparagine-rich antigen  Pf3D7_11_v3:414797-419556(+)  1483,PF3D7_1110400,PF3D7_1110400
20.849,20.7525,20.8217,21.1643,20.7759,20.6317,10.227,7.06315,8,"eukaryotic initiation factor 4A-III, putative","0422700.1  0422700 eukaryotic initiation factor 4A-III, putative  eukaryotic initiation factor 4A-III, putative  Pf3D7_04_v3:1040470-1041642(+)  390",PF3D7_0422700,PF3D7_0422700
25.7861,25.7417,25.805,25.8621,25.9116,25.7151,181.8,8.55368,130,T-complex protein 1 subunit beta,0306800.1  0306800 T-complex protein 1 subunit beta  T-complex protein 1 subunit beta  Pf3D7_03_v3:306108-307984(-)  533,PF3D7_0306800,PF3D7_0306800
24.3992,24.4347,24.583,24.5776,24.5226,24.4748,139.63,8.16059,94,glutathione reductase,1419800.1  1419800 glutathione reductase  glutathione reductase  Pf3D7_14_v3:822423-824202(-)  500;1419800.2  1419800 glutathione reductase  glutathione reductase  Pf3D7_14_v3:822423-824340(-)  546,PF3D7_1419800;PF3D7_1419800.2,PF3D7_1419800;PF3D7_1419800.2
23.0229,23.067,23.1011,23.1383,22.97,23.2442,30.608,7.73863,46,erythrocyte membrane-associated antigen,0703500.1  0703500 erythrocyte membrane-associated antigen  erythrocyte membrane-associated antigen  Pf3D7_07_v3:135606-142505(+)  2299,PF3D7_0703500,PF3D7_0703500
23.2799,23.1748,23.2335,23.2846,23.2358,23.3325,43.384,7.78447,45,ubiquitin carboxyl-terminal hydrolase 14,0527200.1  0527200 ubiquitin carboxyl-terminal hydrolase 14  ubiquitin carboxyl-terminal hydrolase 14  Pf3D7_05_v3:1132937-1134854(-)  605,PF3D7_0527200,PF3D7_0527200
22.9529,22.9596,22.997,22.8791,23.0081,23.1881,15.095,7.7172,21,ethanolamine-phosphate cytidylyltransferase,1347700.1  1347700 ethanolamine-phosphate cytidylyltransferase  ethanolamine-phosphate cytidylyltransferase  Pf3D7_13_v3:1908960-1910885(+)  573,PF3D7_1347700,PF3D7_1347700
26.4857,26.531,26.4963,26.6137,26.5938,26.4715,107.47,8.77714,143,serine hydroxymethyltransferase,1235600.1  1235600 serine hydroxymethyltransferase  serine hydroxymethyltransferase  Pf3D7_12_v3:1484306-1485911(+)  442,PF3D7_1235600,PF3D7_1235600
22.697,23.0002,22.9569,22.7934,22.9009,23.1387,21.336,7.68764,28,calcium-dependent protein kinase 4,0717500.1  0717500 calcium-dependent protein kinase 4  calcium-dependent protein kinase 4  Pf3D7_07_v3:755763-757696(+)  528,PF3D7_0717500,PF3D7_0717500
23.5218,23.8542,23.5286,23.6828,23.556,23.8531,29.122,7.92482,41,adenylosuccinate synthetase,1354500.1  1354500 adenylosuccinate synthetase  adenylosuccinate synthetase  Pf3D7_13_v3:2174346-2175797(+)  442,PF3D7_1354500,PF3D7_1354500
20.4099,20.462,20.8055,20.7162,20.5514,20.6174,2.643,6.98606,9,"eukaryotic translation initiation factor 3 subunit B, putative","0517700.1  0517700 eukaryotic translation initiation factor 3 subunit B, putative  eukaryotic translation initiation factor 3 subunit B, putative  Pf3D7_05_v3:743179-745329(+)  716",PF3D7_0517700,PF3D7_0517700
22.4658,21.7934,23.0841,22.5032,22.5544,22.495,7.9686,7.56765,11,nucleoside diphosphate kinase,1366500.1  1366500 nucleoside diphosphate kinase  nucleoside diphosphate kinase  Pf3D7_13_v3:2661573-2662022(+)  149,PF3D7_1366500,PF3D7_1366500
21.4188,21.7372,21.4391,21.5191,21.6949,21.5945,21.666,7.27724,19,"phosphatidylinositol 3- and 4-kinase, putative","0311300.1  0311300 phosphatidylinositol 3- and 4-kinase, putative  phosphatidylinositol 3- and 4-kinase, putative  Pf3D7_03_v3:480122-483453(-)  953",PF3D7_0311300,PF3D7_0311300
21.9523,22.2221,22.2071,22.0526,22.083,22.4596,97.302,7.46774,31,"Plasmodium exported protein, unknown function","0702500.1  0702500 Plasmodium exported protein, unknown function  Plasmodium exported protein, unknown function  Pf3D7_07_v3:104957-105989(-)  253",PF3D7_0702500,PF3D7_0702500
24.5817,24.6399,24.7437,24.7716,24.7213,24.6876,74.32,8.2348,69,ATP-dependent RNA helicase UAP56,0209800.1  0209800 ATP-dependent RNA helicase UAP56  ATP-dependent RNA helicase UAP56  Pf3D7_02_v3:404281-406355(-)  457,PF3D7_0209800,PF3D7_0209800
27.6933,27.7153,27.6828,27.7877,27.7605,27.7691,177.03,9.1401,234,adenosylhomocysteinase,0520900.1  0520900 adenosylhomocysteinase  adenosylhomocysteinase  Pf3D7_05_v3:857038-858477(+)  479,PF3D7_0520900,PF3D7_0520900
29.9215,29.8824,29.8971,29.9672,29.9362,30.0238,323.31,9.81468,735,enolase,1015900.1  1015900 enolase  enolase  Pf3D7_10_v3:637138-639011(+)  446,PF3D7_1015900,PF3D7_1015900
24.7677,24.6426,24.6421,24.6899,24.7372,24.8529,28.601,8.22953,44,"proliferation-associated protein 2g4, putative","1428300.1  1428300 proliferation-associated protein 2g4, putative  proliferation-associated protein 2g4, putative  Pf3D7_14_v3:1105200-1106514(-)  377",PF3D7_1428300,PF3D7_1428300
20.5115,20.6587,20.9275,20.8642,20.6579,20.8099,2.3879,7.028,6,"serine/threonine protein phosphatase UIS2, putative","1464600.1  1464600 serine/threonine protein phosphatase UIS2, putative  serine/threonine protein phosphatase UIS2, putative  Pf3D7_14_v3:2619679-2624187(+)  1442",PF3D7_1464600,PF3D7_1464600
25.5677,25.5972,25.5901,25.7167,25.6759,25.6192,323.31,8.50116,149,serine repeat antigen 7,0207400.1  0207400 serine repeat antigen 7  serine repeat antigen 7  Pf3D7_02_v3:294273-297616(-)  946,PF3D7_0207400,PF3D7_0207400
